,business_id,cool,date,funny,review_id,stars,text,useful,user_id
0,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-02-25,0,x7mDIiDB3jEiPGPHOmDzyw,2,"The pizza was okay. Not the best I've had. I prefer Biaggio's on Flamingo / Fort Apache. The chef there can make a MUCH better NY style pizza. The pizzeria @ Cosmo was over priced for the quality and lack of personality in the food. Biaggio's is a much better pick if youre going for italian - family owned, home made recipes, people that actually CARE if you like their food. You dont get that at a pizzeria in a casino. I dont care what you say...",0,msQe1u7Z_XuqjGoqhB0J5g
788,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-10-25,0,VluIpojME0yKOcRKI5L0Iw,3,"came here on Monday, no line. its good, but not to go out of your way good.  price is reasonable, it is hard to find. but that was the fun of it trying to find it.  no name, no sign.  if your clubbing @ the Cosmo and your have the munchies this is your place.  they use fresh toppings, crust is thin and very tasty.",0,D1_nrBr4dOrs7M82OaBRwQ
3314,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-05-22,0,nsB9JAeghk0zOaSulSm9Yw,5,"This place is truly a secret!  Its so hidden that there are no signs in the directory of the restaurant itself except for the line of people waiting to enjoy a slice of the best pizza they ever had.  It is thin crust pizza, crispy crust and delicious toppings!  If you can go for lunch there is less of a line.
Their pepperoni was nice and oily just the way i like it",0,jEjc8HxeCeI22M4di0Y1aw
6726,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-12-30,0,pcn01EMERpCpHEcoaohdEg,5,"This SECRET  PIZZA was a secret for about 5 stays at the Cosmo. Now that I know where it is its my favorite late night snack. Ask for it well done and the crust will be perfect. The staff was great, they actually recognized me from the night before....I guess I've become a regular.",0,RTiaaHSN80VRTLSdNK5rfQ
8969,iCQpiavjjPzJ5_3gPD5Ebg,0,2013-03-24,0,0mFtAPTmInbXHqDjX9eiOg,5,"this is the BEST place to grab a quick slice of pizza. It's right on your way leaving Marquee, the employees are so friendly, and the pizza tastes just as good when you're as it does when you're drunk ;)",0,hBmJs49zYcXdV4wo8F5iiA
9552,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-08-27,0,zIXQT3hLQ5KyBLUkLtn--A,5,"Never heard about this ""Secret Pizza"" place but my friends say they are the best and it was on a show. Well let me tell you this, it's the best pizza I've ever had. The white pizza is definitely the one to get. Just writing this review is making me hungry and craving for it even though I just had it like 4 hours ago.",0,waUrPSBpHvrnrEtSVCEiYQ
11114,iCQpiavjjPzJ5_3gPD5Ebg,0,2013-10-18,0,0QClTrMOCNdiGNueot0ZNw,4,Secret pizza is a hidden gem inside The Cosmopolitan.  If you're looking to get a quick slice of pizza before heading out on the strip this is the place to check out. Best slice of pepperoni I've had in Vegas!,0,1Yq4Xv1W_pA7VfD6GusuxA
14054,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-02-02,0,A27Vb7Bsz5dD5JJgBkQWzw,4,"this place is good, real good. the pizza in my opinion is a bit pricy for the slice you get. if the slice was a bit bigger it'd be worth it. the slice i got was a little bigger than your average chain pizza joints. if im in the area, will not hesitate to come back.",1,neGH9zU2RG1F3fD-c4_ykg
18831,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-02-26,0,-2pmDcTj_mKceY0JxMB15w,4,"Mmmm. Reminds me of the pizza back in NYC, where I'm from. And I have high standards when it comes to pizza!

The first time we passed by, it was about 1am and the line was wrapped down the hallway and around the pool table. We went back the next day for a quick bite after some shopping and we were glad we did.  

I'll definitely be back for more, as most of the pizza in Vegas is inedible.",1,7XTQK7OX-d_Fiv05uhNydw
19171,iCQpiavjjPzJ5_3gPD5Ebg,1,2011-08-18,1,Lj8a0R6YEKBZAw7I9SC1Uw,5,"This place is a hidden gem... literally hidden.  I'm not gonna go into too much detail, cuz I don't want too many tourists crowding the place and have it lose it's cool, speaky-easy-ness.  You'll just have to find it.  (Think of it as a fun game.)

The pizza is frickin' awesome.  The crust is thin and perfect.  
And for the price, including a drink, it's an amazing value for a quick bite, or for some late night gnoshing after some drinking.

Don't think that you'll be able to go and gather around a table.  It's not a pizza parlour.  Stools.  Counter tops.  Pizza.  Beer.  Awesome.",1,Maj7Gl89JLK9Sp21ckrvew
20921,iCQpiavjjPzJ5_3gPD5Ebg,1,2011-04-06,0,QV_9UzPWtppzu97JAXsyRQ,3,"If you want to feel like a Vegas baller without spending a fortune, spend some time at the GORGEOUS Cosmopolitan hotel, check out the amazing shops and grab a slice of two of pizza at the Pizzeria. While it's certainly not the best pizza I've ever had, it's quick, cheap, and an entire group of friends from vegetarians to meat lovers can carbo load before a night of heavy drinking.",0,9kb3j5CuU1zTOHcZ9WlKNg
25835,iCQpiavjjPzJ5_3gPD5Ebg,0,2017-06-24,0,kx_bs0shlyYtZVqfpJO1OQ,3,"Wanted to like this more, but was not impressed. Tried pepperoni and a plain Sicilian. Line was long of course, and was hopeful due to the reviews. Very similar to Town Pizza in Highland Park LA.",0,XOaI9R06TfnIrrgB1GtKIQ
26753,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-07-31,0,tt8KdjhBghls5vR_qrooVA,5,"I'm not much of a ""review or feedback"" person but this place is worth me signing up for a yelp account !!! It's the best pizza I have ever had hands down .... Like most newbees I had a hard time finding it here is a post that helped me find it : 

""Take escalators to restaurant floor (third floor). At top of escalators you will be facing Jaleo. Immediately on the left of this restaurant is a (narrow by Vegas standards) hallway - the pizza place is down this hallway. You'll see people indulging in pizza by the pool table in this area and know you've hit the right spot. :)

best,

the pokerfoodie""

If you stay on the strip and don't hit this place at least once your missing out big time!!!!",0,JNDWdmEJoEEGeiE5urNGHg
29391,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-05-13,0,WfJJbVQUw6kNfprfM72bow,5,"Definitely a MUST-TRY if you are nearby cosmo and are: 1) hungry AF and/or 2) drunk AF. You will not regret ordering the white pizza. The whole pizza, if you can. I'm not kidding. It's THAT good (plus you save a little $ per slice, too and that's always a good thing!) And another awesome thing about this place is how it's awesome late! Perfect to come straight here right after Marquee lol (no yacking pls) but expect a long line due to other drunkies with the munchies *nom*",0,qrTVWMqSafe5X8FJYE1eqg
31192,iCQpiavjjPzJ5_3gPD5Ebg,0,2017-01-26,0,WysSWIn6gYuD-94A5TFo3g,5,"If I could only rate this place off the chart. BEST PIZZA on the strip!!!!! It's super fast paced so don't expect to sit. If your that kind of snob then don't bother reviewing. It's all about the pizza at this place. The pizza has this little crunch of perfection when you first bite it and it's orgasmic! It's so delicious!! I can't talk about it enough. I love coming here so, I never pass an opportunity to bring my out of town friends here... wish their was a local discount lol",0,5_SsPRKbjJgQm_bhG6bYVQ
31436,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-04-26,0,PgE6ll0tbpWEiusO8mg43A,4,Had the thin crust meatball and sausage pizza. Delicious flavor and the crust is perfect. Big slices of meatballs with massive flavor.  Highly recommended to ask for parmesan to sprinkle on top. Solid slice for Vegas!,0,uxmn0gwobcwretUT1i3JVw
