,text,tokens,filtered_tokens,tagged_tokens,nouns
0,The pizza was okay,"['The', 'pizza', 'was', 'okay']","['the', 'pizza', 'okay']","[('the', 'DT'), ('pizza', 'NN'), ('okay', 'NN')]","['pizza', 'okay']"
1,Not the best I've had,"['Not', 'the', 'best', 'I', ""'ve"", 'had']","['not', 'best', 'i', ""'ve""]","[('not', 'RB'), ('best', 'JJS'), ('i', 'NN'), (""'ve"", 'VBP')]",['i']
2,I prefer Biaggio's on Flamingo / Fort Apache,"['I', 'prefer', 'Biaggio', ""'s"", 'on', 'Flamingo', '/', 'Fort', 'Apache']","['i', 'prefer', 'biaggio', ""'s"", 'flamingo', '/', 'fort', 'apache']","[('i', 'NN'), ('prefer', 'VBP'), ('biaggio', 'NN'), (""'s"", 'POS'), ('flamingo', 'JJ'), ('/', 'NN'), ('fort', 'NN'), ('apache', 'NN')]","['i', 'biaggio', '/', 'fort', 'apache']"
3,The chef there can make a MUCH better NY style pizza,"['The', 'chef', 'there', 'can', 'make', 'a', 'MUCH', 'better', 'NY', 'style', 'pizza']","['the', 'chef', 'make', 'much', 'better', 'ny', 'style', 'pizza']","[('the', 'DT'), ('chef', 'NN'), ('make', 'VBP'), ('much', 'JJ'), ('better', 'JJR'), ('ny', 'JJ'), ('style', 'NN'), ('pizza', 'NN')]","['chef', 'style', 'pizza']"
4,The pizzeria @ Cosmo was over priced for the quality and lack of personality in the food,"['The', 'pizzeria', '@', 'Cosmo', 'was', 'over', 'priced', 'for', 'the', 'quality', 'and', 'lack', 'of', 'personality', 'in', 'the', 'food']","['the', 'pizzeria', '@', 'cosmo', 'priced', 'quality', 'lack', 'personality', 'food']","[('the', 'DT'), ('pizzeria', 'NN'), ('@', 'NNP'), ('cosmo', 'NN'), ('priced', 'VBN'), ('quality', 'NN'), ('lack', 'NN'), ('personality', 'NN'), ('food', 'NN')]","['pizzeria', '@', 'cosmo', 'quality', 'lack', 'personality', 'food']"
5,"Biaggio's is a much better pick if youre going for italian - family owned, home made recipes, people that actually CARE if you like their food","['Biaggio', ""'s"", 'is', 'a', 'much', 'better', 'pick', 'if', 'youre', 'going', 'for', 'italian', '-', 'family', 'owned', ',', 'home', 'made', 'recipes', ',', 'people', 'that', 'actually', 'CARE', 'if', 'you', 'like', 'their', 'food']","['biaggio', ""'s"", 'much', 'better', 'pick', 'youre', 'going', 'italian', '-', 'family', 'owned', ',', 'home', 'made', 'recipes', ',', 'people', 'actually', 'care', 'like', 'food']","[('biaggio', 'NN'), (""'s"", 'POS'), ('much', 'JJ'), ('better', 'RBR'), ('pick', 'JJ'), ('youre', 'NN'), ('going', 'VBG'), ('italian', 'JJ'), ('-', ':'), ('family', 'NN'), ('owned', 'VBD'), (',', ','), ('home', 'NN'), ('made', 'VBD'), ('recipes', 'NNS'), (',', ','), ('people', 'NNS'), ('actually', 'RB'), ('care', 'VBP'), ('like', 'IN'), ('food', 'NN')]","['biaggio', 'youre', 'family', 'home', 'recipes', 'people', 'food']"
6,You dont get that at a pizzeria in a casino,"['You', 'dont', 'get', 'that', 'at', 'a', 'pizzeria', 'in', 'a', 'casino']","['you', 'dont', 'get', 'pizzeria', 'casino']","[('you', 'PRP'), ('dont', 'VBP'), ('get', 'VB'), ('pizzeria', 'NNS'), ('casino', 'NN')]","['pizzeria', 'casino']"
7,I dont care what you say...,"['I', 'dont', 'care', 'what', 'you', 'say', '...']","['i', 'dont', 'care', 'say', '...']","[('i', 'NN'), ('dont', 'NN'), ('care', 'NN'), ('say', 'VBP'), ('...', ':')]","['i', 'dont', 'care']"
8,"came here on Monday, no line","['came', 'here', 'on', 'Monday', ',', 'no', 'line']","['came', 'monday', ',', 'line']","[('came', 'VBD'), ('monday', 'RB'), (',', ','), ('line', 'NN')]",['line']
9,"its good, but not to go out of your way good","['its', 'good', ',', 'but', 'not', 'to', 'go', 'out', 'of', 'your', 'way', 'good']","['good', ',', 'go', 'way', 'good']","[('good', 'JJ'), (',', ','), ('go', 'VB'), ('way', 'NN'), ('good', 'JJ')]",['way']
